

State Name,Geoname Code,LGA Name,Alternative Name,LGA Geoname Code
Benue,2347062,Logo,,7871483
Benue,2347062,Makurdi,,7871482
Benue,2347062,Obi,,7871481
Benue,2347062,Ogbadibo,,7871480
Benue,2347062,Ohimini,,7871479
Benue,2347062,Oju,,7871478
Benue,2347062,Okpokwu,,7871477
Benue,2347062,Otukpo,,7871476
Benue,2347062,Tarka,,7871475
Benue,2347062,Ukum,,7871474
Benue,2347062,Ushongo,,7871473
Benue,2347062,Vandeikya,,7871472
      
Zamfara,2318261,Anka,,7871201
Zamfara,2318261,Bakura,,7871200
Zamfara,2318261,Birnin Magaji/Kiyaw,,7871199
Zamfara,2318261,Bukkuyum,,7871198
Zamfara,2318261,Bungudu,,7871197
Zamfara,2318261,Tsafe,,7871196
Zamfara,2318261,Gummi,,7871195
Zamfara,2318261,Gusau,,7871194
Zamfara,2318261,Kaura Namoda,,7871193
Zamfara,2318261,Maradun,,7871192
Zamfara,2318261,Maru,,7871191
Zamfara,2318261,Shinkafi,,7871190
Zamfara,2318261,Talata Mafara,,7871189
Zamfara,2318261,Zurmi,,7871188
